Neochlamydia,Legionella,Sample.ID,Sample.Name,Qubit.Concentration..ng.uL.,Legiolert..MPN.mL.,Legionella.pneumophila.ddPCR..copies.mL.,Neochlamydia.ddPCR..copies.mL.,Copper,waterorbiofilm,realorcontrol,Jar,sample-id,non-chimeric
0.024623841,0.000248169,Y2 2/8,30 ppb Cu Replicate 3 (2/8),0.0665,26.4,1.970048745,625.4777379,30,w,r,Y2 2/8,GSC41189-Y22-8,108797
0.004529844,0.000126414,R1 2/12,30 ppb Cu Replicate 1 (2/12),0.0805,1,0,236.7896776,30,w,r,R1 2/12,GSC41190-R12-12,47463
0.011878237,9.03E-05,G2 2/12,30 ppb Cu Replicate 2 (2/12),0.122,1,0,682.1345196,30,w,r,G2 2/12,GSC41191-G22-12,66424
0.018913455,0.000117394,Y2 2/12,30 ppb Cu Replicate 3 (2/12),0.0565,31,1.548981979,431.4486729,30,w,r,Y2 2/12,GSC41192-Y22-12,76665
0.002437488,0.000919222,B2 2/5,250 ppb Cu Replicate 1 (2/5),0.23,204.8,21.99173993,358.443233,250,w,r,B2 2/5,GSC41193-B22-5,96821
0.013234199,0,O2 2/5,250 ppb Cu Replicate 2 (2/5),0.313,1,0,1448.327276,250,w,r,O2 2/5,GSC41194-O22-5,68459
0.024876512,2.75E-05,Y3 2/5,250 ppb Cu Replicate 3 (2/5),0.446,1,0,3191.588296,250,w,r,Y3 2/5,GSC41195-Y32-5,72679
0.001536055,0.001137818,B2 2/8,250 ppb Cu Replicate 1 (2/8),0.178,196.4,1.970048745,129.212192,250,w,r,B2 2/8,GSC41196-B22-8,70310
0.014085739,0,O2 2/8,250 ppb Cu Replicate 2 (2/8),0.424,1,0,2502.885077,250,w,r,O2 2/8,GSC41197-O22-8,34290
0.027943917,0,Y3 2/8,250 ppb Cu Replicate 3 (2/8),0.178,1,0,1447.268539,250,w,r,Y3 2/8,GSC41198-Y32-8,92292
0.003199457,0.000781861,B2 2/12,250 ppb Cu Replicate 1 (2/12),0.165,258,8.612436447,273.0172448,250,w,r,B2 2/12,GSC41199-B22-12,97204
0.022429589,0,O2 2/12,250 ppb Cu Replicate 2 (2/12),0.092,1,0,1057.045874,250,w,r,O2 2/12,GSC41200-O22-12,41151
0.024619679,5.58E-05,Y3 2/12,250 ppb Cu Replicate 3 (2/12),0.302,1,0,2590.498659,250,w,r,Y3 2/12,GSC41201-Y32-12,71650
0.00013013,0,B3 2/5,2000 ppb Cu Replicate 1 (2/5),0.117,1,0,6.320799887,2000,w,r,B3 2/5,GSC41202-B32-5,115269
5.66E-05,0,G1 2/5,2000 ppb Cu Replicate 2 (2/5),0.118,1,0,3.877237356,2000,w,r,G1 2/5,GSC41203-G12-5,106093
0.000186656,0,Y1 2/5,2000 ppb Cu Replicate 3 (2/5),0.17,1,0,30.95661766,2000,w,r,Y1 2/5 ,GSC41204-Y12-5,133936
6.95E-05,4.35E-05,B3 2/8,2000 ppb Cu Replicate 1 (2/8),0.184,1,0,27.39485767,2000,w,r,B3 2/8,GSC41205-B32-8,115070
0,0,G1 2/8,2000 ppb Cu Replicate 2 (2/8),<0.025,1,0,3.200238204,2000,w,r,G1 2/8,GSC41206-G12-8,32149
0,0,Y1 2/8,2000 ppb Cu Replicate 3 (2/8),0.1,1,0,27.24307894,2000,w,r,Y1 2/8,GSC41207-Y12-8,92604
0.000164197,5.47E-05,B3 2/12,2000 ppb Cu Replicate 1 (2/12),0.431,1,0,100.2580963,2000,w,r,B3 2/12,GSC41208-B32-12,182707
0.000115551,8.99E-05,G1 2/12,2000 ppb Cu Replicate 2 (2/12),0.0715,1,0,9.70748466,2000,w,r,G1 2/12,GSC41209-G12-12,155775
0.000233329,0,Y1 2/12,2000 ppb Cu Replicate 3 (2/12),<0.025,1,0,5.857679494,2000,w,r,Y1 2/12,GSC41210-Y12-12,64287
0.006406003,9.15E-05,O1F 3/29,0 ppb Cu Replicate 1 Front Pipe (Biofilm Swab) ,1.92,NA,NA,,0,b,r,O1F 3/29,GSC41215-O1F3-29,43709
0.001297729,0.000149738,O1B 3/29,0 ppb Cu Replicate 1 Back Pipe (Biofilm Swab) ,1.36,NA,NA,,0,b,r,O1B 3/29,GSC41216-O1B3-29,20035
0.004750557,0,R2F 3/29,0 ppb Cu Replicate 2 Front Pipe (Biofilm Swab) ,2.92,NA,NA,,0,b,r,R2F 3/29,GSC41217-R2F3-29,64624
0.002904059,0,R2B 3/29,0 ppb Cu Replicate 2 Back Pipe (Biofilm Swab) ,2.36,NA,NA,,0,b,r,R2B 3/29,GSC41218-R2B3-29,46831
0.003394333,0,G3F 3/29,0 ppb Cu Replicate 3 Front Pipe (Biofilm Swab) ,1.18,NA,NA,,0,b,r,G3F 3/29,GSC41219-G3F3-29,47432
0.003202847,0,G3B 3/29,0 ppb Cu Replicate 3 Back Pipe (Biofilm Swab) ,1.14,NA,NA,,0,b,r,G3B 3/29,GSC41220-G3B3-29,28100
0.003185396,0,B1F 3/29,4 ppb Cu Replicate 1 Front Pipe (Biofilm Swab) ,4.96,NA,NA,,4,b,r,B1F 3/29,GSC41221-B1F3-29,70007
0.007473363,0,B1B 3/29,4 ppb Cu Replicate 1 Back Pipe (Biofilm Swab) ,2.18,NA,NA,,4,b,r,B1B 3/29,GSC41222-B1B3-29,53122
0.007637175,0,O3F 3/29,4 ppb Cu Replicate 2 Front Pipe (Biofilm Swab) ,3.47,NA,NA,,4,b,r,O3F 3/29,GSC41223-O3F3-29,17022
0.003032847,0.000119943,O3B 3/29,4 ppb Cu Replicate 2 Back Pipe (Biofilm Swab) ,3.42,NA,NA,,4,b,r,O3B 3/29,GSC41224-O3B3-29,58361
0.005179856,0,R3F 3/29,4 ppb Cu Replicate 3 Front Pipe (Biofilm Swab) ,3.4,NA,NA,,4,b,r,R3F 3/29,GSC41225-R3F3-29,24325
0.00403497,0,R3B 3/29,4 ppb Cu Replicate 3 Back Pipe (Biofilm Swab) ,3.95,NA,NA,,4,b,r,R3B 3/29,GSC41226-R3B3-29,50558
0.009695377,0,R1F 3/29,30 ppb Cu Replicate 1 Front Pipe (Biofilm Swab) ,2.62,NA,NA,,30,b,r,R1F 3/29,GSC41227-R1F3-29,47961
0.004166841,0,R1B 3/29,30 ppb Cu Replicate 1 Back Pipe (Biofilm Swab) ,3.53,NA,NA,,30,b,r,R1B 3/29,GSC41228-R1B3-29,47758
0.003638794,0,G2F 3/29,30 ppb Cu Replicate 2 Front Pipe (Biofilm Swab) ,3.59,NA,NA,,30,b,r,G2F 3/29,GSC41229-G2F3-29,26932
0.007145951,0,G2B 3/29,30 ppb Cu Replicate 2 Back Pipe (Biofilm Swab) ,2.28,NA,NA,,30,b,r,G2B 3/29,GSC41230-G2B3-29,36944
0.008821835,0,Y2F 3/29,30 ppb Cu Replicate 3 Front Pipe (Biofilm Swab) ,2.48,NA,NA,,30,b,r,Y2F 3/29,GSC41231-Y2F3-29,55544
0.002785298,8.91E-05,Y2B 3/29,30 ppb Cu Replicate 3 Back Pipe  (Biofilm Swab) ,3.6,NA,NA,,30,b,r,Y2B 3/29,GSC41232-Y2B3-29,89757
0.001846637,0.001292646,B2F 3/29,250 ppb Cu Replicate 1 Front Pipe (Biofilm Swab) ,2,NA,NA,,250,b,r,B2F 3/29,GSC41233-B2F3-29,21661
0.00180072,0.001237995,B2B 3/29,250 ppb Cu Replicate 1 Back Pipe (Biofilm Swab) ,1.74,NA,NA,,250,b,r,B2B 3/29,GSC41234-B2B3-29,53312
0.010003258,0,O2F 3/29,250 ppb Cu Replicate 2 Front Pipe (Biofilm Swab) ,2.66,NA,NA,,250,b,r,O2F 3/29,GSC41235-O2F3-29,73676
0.004919415,0,O2B 3/29,250 ppb Cu Replicate 2 Back Pipe (Biofilm Swab) ,2.4,NA,NA,,250,b,r,O2B 3/29,GSC41236-O2B3-29,64032
0.005324765,0,Y3F 3/29,250 ppb Cu Replicate 3 Front Pipe (Biofilm Swab) ,1.02,NA,NA,,250,b,r,Y3F 3/29,GSC41237-Y3F3-29,21785
0.010713485,0,Y3B 3/29,250 ppb Cu Replicate 3 Back Pipe (Biofilm Swab) ,1.89,NA,NA,,250,b,r,Y3B 3/29,GSC41238-Y3B3-29,120409
7.87E-05,0,B3F 3/29,2000 ppb Cu Replicate 1 Front Pipe (Biofilm Swab) ,0.885,NA,NA,,2000,b,r,B3F 3/29,GSC41239-B3F3-29,88953
0,0,B3B 3/29,2000 ppb Cu Replicate 1 Back Pipe (Biofilm Swab) ,0.875,NA,NA,,2000,b,r,B3B 3/29,GSC41240-B3B3-29,57550
5.57E-05,0,G1F 3/29,2000 ppb Cu Replicate 2 Front Pipe (Biofilm Swab) ,1.19,NA,NA,,2000,b,r,G1F 3/29,GSC41241-G1F3-29,71819
6.30E-05,0,G1B 3/29,2000 ppb Cu Replicate 2 Back Pipe (Biofilm Swab) ,1.08,NA,NA,,2000,b,r,G1B 3/29,GSC41242-G1B3-29,47633
0,0,Y1F 3/29,2000 ppb Cu Replicate 3 Front Pipe (Biofilm Swab) ,1.04,NA,NA,,2000,b,r,Y1F 3/29,GSC41243-Y1F3-29,55418
0,0,Y1B 3/29,2000 ppb Cu Replicate 3 Back Pipe (Biofilm Swab) ,1.24,NA,NA,,2000,b,r,Y1B 3/29,GSC41244-Y1B3-29,35150
0.001422582,0,BW 3/29,Base Water (form of influent water),<0.025,NA,NA,,0,w,c,BW 3/29,GSC41245-BW3-29,13356
0.000250478,0.001639494,Inf 5/12,Influent water,0.308,NA,NA,,0,w,c,Inf 5/12,GSC41246-Inf5-12,43916
